analysis_scope,protocol,feature_set,backbone,epoch,k,beta,late_q,mean_inner_validation_mae,std_inner_validation_mae,num_inner_tasks,fold1_mae,fold2_mae,fold3_mae,avg_outer_mae,fold1_rmse,fold2_rmse,fold3_rmse,avg_outer_rmse,selected_for_mainline,notes
inner_loso_grid,source-only inner-LOSO,Pure RMS7,Baseline + KNN,300,5,0.3,0.0,3.819106856981913,2.9431116968072843,6,,,,,,,,,no,Full inner-LOSO search record for appendix.
inner_loso_grid,source-only inner-LOSO,Pure RMS7,Baseline + KNN,300,7,0.3,0.0,3.820096492767334,2.9446719106300843,6,,,,,,,,,no,Full inner-LOSO search record for appendix.
inner_loso_grid,source-only inner-LOSO,Pure RMS7,Baseline + KNN,300,10,0.3,0.0,3.8211448788642883,2.948035306427414,6,,,,,,,,,no,Full inner-LOSO search record for appendix.
inner_loso_grid,source-only inner-LOSO,Pure RMS7,Baseline + KNN,300,3,0.7,0.8,3.886282523473104,2.052371147796642,6,,,,,,,,,no,Full inner-LOSO search record for appendix.
inner_loso_grid,source-only inner-LOSO,Pure RMS7,Baseline + KNN,300,3,0.5,0.8,3.891416331132253,2.4519557087109076,6,,,,,,,,,no,Full inner-LOSO search record for appendix.
inner_loso_grid,source-only inner-LOSO,Pure RMS7,Baseline + KNN,300,5,0.5,0.8,3.908611456553141,2.4522309537287215,6,,,,,,,,,no,Full inner-LOSO search record for appendix.
inner_loso_grid,source-only inner-LOSO,Pure RMS7,Baseline + KNN,300,5,0.7,0.8,3.9087651570638022,2.0545312919109087,6,,,,,,,,,no,Full inner-LOSO search record for appendix.
inner_loso_grid,source-only inner-LOSO,Pure RMS7,Baseline + KNN,300,7,0.5,0.8,3.924145003159841,2.4526200203654023,6,,,,,,,,,no,Full inner-LOSO search record for appendix.
inner_loso_grid,source-only inner-LOSO,Pure RMS7,Baseline + KNN,300,7,0.7,0.8,3.9283485412597656,2.057193527693328,6,,,,,,,,,no,Full inner-LOSO search record for appendix.
inner_loso_grid,source-only inner-LOSO,Pure RMS7,Baseline + KNN,300,3,0.3,0.5,3.9310324589411416,2.8881396148764407,6,,,,,,,,,no,Full inner-LOSO search record for appendix.
inner_loso_grid,source-only inner-LOSO,Pure RMS7,Baseline + KNN,300,5,0.3,0.5,3.931765874226888,2.8905300797002518,6,,,,,,,,,no,Full inner-LOSO search record for appendix.
inner_loso_grid,source-only inner-LOSO,Pure RMS7,Baseline + KNN,300,7,0.3,0.5,3.9319799343744912,2.8924919724440645,6,,,,,,,,,no,Full inner-LOSO search record for appendix.
