inner_id,outer_fold,library_run,query_run,k,beta,late_q,mode,stage,num_points,wear_min_um,wear_max_um,mae_um,rmse_um,mean_residual_um,underest_ratio
fold1:c1->c4,fold1,c1,c4,10,,0.0,delta-knn-only@k10,late,73,122.64857482910156,210.91937255859375,6.22003698348999,6.281418323516846,-6.22003698348999,1.0
fold1:c1->c4,fold1,c1,c4,10,0.3,0.0,delta-blend@k10_b03,early,101,91.47920989990234,97.94757843017578,1.8697558641433716,1.918800711631775,1.8697558641433716,0.0
fold1:c1->c4,fold1,c1,c4,10,0.3,0.0,delta-blend@k10_b03,mid,45,98.04940032958984,121.59553527832031,0.9785336256027222,1.152475357055664,0.2904737591743469,0.4222222222222222
fold1:c1->c4,fold1,c1,c4,10,0.3,0.0,delta-blend@k10_b03,late,73,122.64857482910156,210.91937255859375,2.5332038402557373,4.057745456695557,-2.5332038402557373,1.0
fold1:c1->c4,fold1,c1,c4,10,0.5,0.0,delta-blend@k10_b05,early,101,91.47920989990234,97.94757843017578,1.3733066320419312,1.5181379318237305,1.3733066320419312,0.0
fold1:c1->c4,fold1,c1,c4,10,0.5,0.0,delta-blend@k10_b05,mid,45,98.04940032958984,121.59553527832031,1.0980709791183472,1.2687568664550781,-0.04572821781039238,0.5333333333333333
fold1:c1->c4,fold1,c1,c4,10,0.5,0.0,delta-blend@k10_b05,late,73,122.64857482910156,210.91937255859375,3.5865845680236816,4.314386367797852,-3.5865845680236816,1.0
fold1:c1->c4,fold1,c1,c4,10,0.7,0.0,delta-blend@k10_b07,early,101,91.47920989990234,97.94757843017578,0.9477260112762451,1.250469446182251,0.8768566846847534,0.22772277227722773
fold1:c1->c4,fold1,c1,c4,10,0.7,0.0,delta-blend@k10_b07,mid,45,98.04940032958984,121.59553527832031,1.2666445970535278,1.4964791536331177,-0.3819302022457123,0.6
fold1:c1->c4,fold1,c1,c4,10,0.7,0.0,delta-blend@k10_b07,late,73,122.64857482910156,210.91937255859375,4.639965057373047,4.929373741149902,-4.639965057373047,1.0
fold1:c1->c4,fold1,c1,c4,3,,0.8,delta-knn-only@k3,early,101,91.47920989990234,97.94757843017578,0.9299331307411194,1.0701555013656616,0.8563279509544373,0.15841584158415842
fold1:c1->c4,fold1,c1,c4,3,,0.8,delta-knn-only@k3,mid,45,98.04940032958984,121.59553527832031,2.4339427947998047,3.259993553161621,-2.0424227714538574,0.7333333333333333
fold1:c1->c4,fold1,c1,c4,3,,0.8,delta-knn-only@k3,late,73,122.64857482910156,210.91937255859375,6.516218185424805,6.587469577789307,-6.516218185424805,1.0
fold1:c1->c4,fold1,c1,c4,3,0.3,0.8,delta-blend@k3_b03,early,101,91.47920989990234,97.94757843017578,2.0869998931884766,2.108597993850708,2.0869998931884766,0.0
fold1:c1->c4,fold1,c1,c4,3,0.3,0.8,delta-blend@k3_b03,mid,45,98.04940032958984,121.59553527832031,1.1915605068206787,1.3441312313079834,-0.05638224259018898,0.4888888888888889
fold1:c1->c4,fold1,c1,c4,3,0.3,0.8,delta-blend@k3_b03,late,73,122.64857482910156,210.91937255859375,2.622058391571045,4.087315082550049,-2.622058391571045,1.0
