fold,k,beta,late_q,mode,stage,num_points,wear_min_um,wear_max_um,mae_um,rmse_um,mean_residual_um,underest_ratio
fold3,3,,0.0,delta-knn-only@k3,late,56,134.55799865722656,172.6868438720703,36.39285659790039,36.82123947143555,36.39285659790039,0.0
fold3,3,0.3,0.0,delta-blend@k3_b03,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold3,3,0.3,0.0,delta-blend@k3_b03,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
fold3,3,0.3,0.0,delta-blend@k3_b03,late,56,134.55799865722656,172.6868438720703,33.379024505615234,33.447547912597656,33.379024505615234,0.0
fold3,3,0.5,0.0,delta-blend@k3_b05,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold3,3,0.5,0.0,delta-blend@k3_b05,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
fold3,3,0.5,0.0,delta-blend@k3_b05,late,56,134.55799865722656,172.6868438720703,34.24011993408203,34.38016128540039,34.24011993408203,0.0
fold3,3,0.7,0.0,delta-blend@k3_b07,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold3,3,0.7,0.0,delta-blend@k3_b07,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
fold3,3,0.7,0.0,delta-blend@k3_b07,late,56,134.55799865722656,172.6868438720703,35.10121536254883,35.338836669921875,35.10121536254883,0.0
fold3,5,,0.0,delta-knn-only@k5,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold3,5,,0.0,delta-knn-only@k5,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
fold3,5,,0.0,delta-knn-only@k5,late,56,134.55799865722656,172.6868438720703,36.432655334472656,36.860008239746094,36.432655334472656,0.0
fold3,5,0.3,0.0,delta-blend@k5_b03,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold3,5,0.3,0.0,delta-blend@k5_b03,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
fold3,5,0.3,0.0,delta-blend@k5_b03,late,56,134.55799865722656,172.6868438720703,33.39096450805664,33.45945358276367,33.39096450805664,0.0
fold3,5,0.5,0.0,delta-blend@k5_b05,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold3,5,0.5,0.0,delta-blend@k5_b05,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
fold3,5,0.5,0.0,delta-blend@k5_b05,late,56,134.55799865722656,172.6868438720703,34.2600212097168,34.399879455566406,34.2600212097168,0.0
fold3,5,0.7,0.0,delta-blend@k5_b07,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold3,5,0.7,0.0,delta-blend@k5_b07,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
fold3,5,0.7,0.0,delta-blend@k5_b07,late,56,134.55799865722656,172.6868438720703,35.12907791137695,35.36626434326172,35.12907791137695,0.0
fold3,10,,0.0,delta-knn-only@k10,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold3,10,,0.0,delta-knn-only@k10,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
fold3,10,,0.0,delta-knn-only@k10,late,56,134.55799865722656,172.6868438720703,36.53430938720703,36.95991516113281,36.53430938720703,0.0
fold3,10,0.3,0.0,delta-blend@k10_b03,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold3,10,0.3,0.0,delta-blend@k10_b03,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
fold3,10,0.3,0.0,delta-blend@k10_b03,late,56,134.55799865722656,172.6868438720703,33.42145919799805,33.48997497558594,33.42145919799805,0.0
fold3,10,0.5,0.0,delta-blend@k10_b05,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold3,10,0.5,0.0,delta-blend@k10_b05,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
fold3,10,0.5,0.0,delta-blend@k10_b05,late,56,134.55799865722656,172.6868438720703,34.31084442138672,34.45051956176758,34.31084442138672,0.0
