fold,k,beta,late_q,mode,library_wear_threshold_um,mse_full_raw,rmse_full_raw,mae_full_raw,valid_points
fold2,5,0.7,0.8,delta-blend@k5_b07,134.4514617919922,607.3884887695312,24.645252864791857,24.393047332763672,56
fold2,10,,0.8,delta-knn-only@k10,134.4514617919922,631.021484375,25.120141010253107,25.01163101196289,56
fold2,10,0.3,0.8,delta-blend@k10_b03,134.4514617919922,583.9627075195312,24.165320347960034,23.655757904052734,56
fold2,10,0.5,0.8,delta-blend@k10_b05,134.4514617919922,595.6160278320312,24.405245908042623,24.04315185546875,56
fold2,10,0.7,0.8,delta-blend@k10_b07,134.4514617919922,608.7030029296875,24.67190716036536,24.4305419921875,56
fold3,,,,head-only,,1030.5665283203125,32.102438043243886,32.08738327026367,56
fold3,3,,0.0,delta-knn-only@k3,94.5686264038086,1355.8035888671875,36.821238285359,36.39285659790039,56
fold3,3,0.3,0.0,delta-blend@k3_b03,94.5686264038086,1118.738525390625,33.44754886969485,33.379024505615234,56
fold3,3,0.5,0.0,delta-blend@k3_b05,94.5686264038086,1181.9954833984375,34.380161189244554,34.24011993408203,56
fold3,3,0.7,0.0,delta-blend@k3_b07,94.5686264038086,1248.833251953125,35.33883489807106,35.10121536254883,56
fold3,5,,0.0,delta-knn-only@k5,94.5686264038086,1358.66015625,36.86000754544144,36.432655334472656,56
fold3,5,0.3,0.0,delta-blend@k5_b03,94.5686264038086,1119.5350341796875,33.4594535845953,33.39096450805664,56
fold3,5,0.5,0.0,delta-blend@k5_b05,94.5686264038086,1183.351806640625,34.39988091026806,34.2600212097168,56
fold3,5,0.7,0.0,delta-blend@k5_b07,94.5686264038086,1250.7725830078125,35.36626334528165,35.12907791137695,56
fold3,10,,0.0,delta-knn-only@k10,94.5686264038086,1366.035400390625,36.9599161307304,36.53430938720703,56
fold3,10,0.3,0.0,delta-blend@k10_b03,94.5686264038086,1121.5784912109375,33.4899759810445,33.42145919799805,56
fold3,10,0.5,0.0,delta-blend@k10_b05,94.5686264038086,1186.8382568359375,34.450518963230984,34.31084442138672,56
fold3,10,0.7,0.0,delta-blend@k10_b07,94.5686264038086,1255.7662353515625,35.43679211429221,35.20022964477539,56
fold3,3,,0.8,delta-knn-only@k3,136.90206909179688,1355.8035888671875,36.821238285359,36.39285659790039,56
fold3,3,0.3,0.8,delta-blend@k3_b03,136.90206909179688,1118.738525390625,33.44754886969485,33.379024505615234,56
fold3,3,0.5,0.8,delta-blend@k3_b05,136.90206909179688,1181.9954833984375,34.380161189244554,34.24011993408203,56
fold3,3,0.7,0.8,delta-blend@k3_b07,136.90206909179688,1248.833251953125,35.33883489807106,35.10121536254883,56
fold3,5,,0.8,delta-knn-only@k5,136.90206909179688,1358.66015625,36.86000754544144,36.432655334472656,56
fold3,5,0.3,0.8,delta-blend@k5_b03,136.90206909179688,1119.5350341796875,33.4594535845953,33.39096450805664,56
fold3,5,0.5,0.8,delta-blend@k5_b05,136.90206909179688,1183.351806640625,34.39988091026806,34.2600212097168,56
fold3,5,0.7,0.8,delta-blend@k5_b07,136.90206909179688,1250.7725830078125,35.36626334528165,35.12907791137695,56
fold3,10,,0.8,delta-knn-only@k10,136.90206909179688,1366.035400390625,36.9599161307304,36.53430938720703,56
fold3,10,0.3,0.8,delta-blend@k10_b03,136.90206909179688,1121.5784912109375,33.4899759810445,33.42145919799805,56
fold3,10,0.5,0.8,delta-blend@k10_b05,136.90206909179688,1186.8382568359375,34.450518963230984,34.31084442138672,56
fold3,10,0.7,0.8,delta-blend@k10_b07,136.90206909179688,1255.7662353515625,35.43679211429221,35.20022964477539,56
