inner_id,outer_fold,library_run,query_run,setting,k,beta,late_q,stage,num_points,wear_min_um,wear_max_um,mae_um,rmse_um,mean_residual_um,underest_ratio
fold2:c6->c4,fold2,c6,c4,head-only,,,,early,101,91.47920989990234,97.94757843017578,5.154965400695801,5.172817707061768,5.154965400695801,0.0
fold2:c6->c4,fold2,c6,c4,head-only,,,,mid,45,98.04940032958984,121.59553527832031,2.93117618560791,3.237377643585205,2.93117618560791,0.0
fold2:c6->c4,fold2,c6,c4,head-only,,,,late,73,122.64857482910156,210.91937255859375,3.478468894958496,3.632251501083374,3.478468894958496,0.0
fold2:c6->c4,fold2,c6,c4,global-selected delta-blend@k10_b07,10,0.7,0.0,early,101,91.47920989990234,97.94757843017578,1.2502061128616333,1.2996236085891724,1.2502061128616333,0.0
fold2:c6->c4,fold2,c6,c4,global-selected delta-blend@k10_b07,10,0.7,0.0,mid,45,98.04940032958984,121.59553527832031,1.7417361736297607,2.2624411582946777,-1.0551222562789917,0.6
fold2:c6->c4,fold2,c6,c4,global-selected delta-blend@k10_b07,10,0.7,0.0,late,73,122.64857482910156,210.91937255859375,1.8084536790847778,2.0845022201538086,-0.49727505445480347,0.4657534246575342
fold3:c1->c6,fold3,c1,c6,head-only,,,,early,73,115.75848388671875,124.82301330566406,2.6187567710876465,2.709334135055542,2.6187567710876465,0.0
fold3:c1->c6,fold3,c1,c6,head-only,,,,mid,73,125.06329345703125,175.6009063720703,3.41186785697937,4.0711236000061035,0.7871988415718079,0.4657534246575342
fold3:c1->c6,fold3,c1,c6,head-only,,,,late,73,176.8994598388672,234.7159423828125,27.31594467163086,30.78137969970703,-27.31594467163086,1.0
fold3:c1->c6,fold3,c1,c6,global-selected delta-blend@k10_b07,10,0.7,0.0,early,73,115.75848388671875,124.82301330566406,2.188096046447754,2.285646915435791,2.188096046447754,0.0
fold3:c1->c6,fold3,c1,c6,global-selected delta-blend@k10_b07,10,0.7,0.0,mid,73,125.06329345703125,175.6009063720703,2.2757620811462402,2.738966703414917,-1.2266947031021118,0.6438356164383562
fold3:c1->c6,fold3,c1,c6,global-selected delta-blend@k10_b07,10,0.7,0.0,late,73,176.8994598388672,234.7159423828125,9.43359375,9.739058494567871,-9.43359375,1.0
