inner_id,outer_fold,library_run,query_run,k,beta,late_q,mode,stage,num_points,wear_min_um,wear_max_um,mae_um,rmse_um,mean_residual_um,underest_ratio
fold1:c4->c1,fold1,c4,c1,3,0.5,0.8,delta-blend@k3_b05,late,73,131.8159637451172,165.1724090576172,4.675453186035156,4.77600622177124,4.675453186035156,0.0
fold2:c4->c6,fold2,c4,c6,,,,head-only,early,73,111.35810089111328,119.971923828125,8.288945198059082,8.34042739868164,8.288945198059082,0.0
fold2:c4->c6,fold2,c4,c6,,,,head-only,mid,73,120.12554168701172,162.8081817626953,10.463348388671875,10.596199989318848,10.463348388671875,0.0
fold2:c4->c6,fold2,c4,c6,,,,head-only,late,73,163.6708526611328,215.94224548339844,14.281167984008789,14.3839693069458,14.281167984008789,0.0
fold2:c4->c6,fold2,c4,c6,3,,0.0,delta-knn-only@k3,early,73,111.35810089111328,119.971923828125,6.31022310256958,6.5478057861328125,6.31022310256958,0.0
fold2:c4->c6,fold2,c4,c6,3,,0.0,delta-knn-only@k3,mid,73,120.12554168701172,162.8081817626953,5.058076858520508,5.207518577575684,5.058076858520508,0.0
fold2:c4->c6,fold2,c4,c6,3,,0.0,delta-knn-only@k3,late,73,163.6708526611328,215.94224548339844,3.7076404094696045,3.900399923324585,3.7076404094696045,0.0
fold2:c4->c6,fold2,c4,c6,3,0.5,0.0,delta-blend@k3_b05,early,73,111.35810089111328,119.971923828125,7.299583911895752,7.418504238128662,7.299583911895752,0.0
fold2:c4->c6,fold2,c4,c6,3,0.5,0.0,delta-blend@k3_b05,mid,73,120.12554168701172,162.8081817626953,7.760713577270508,7.7859272956848145,7.760713577270508,0.0
fold2:c4->c6,fold2,c4,c6,3,0.5,0.0,delta-blend@k3_b05,late,73,163.6708526611328,215.94224548339844,8.994404792785645,9.046895027160645,8.994404792785645,0.0
fold2:c4->c6,fold2,c4,c6,3,,0.5,delta-knn-only@k3,early,73,111.35810089111328,119.971923828125,6.31022310256958,6.5478057861328125,6.31022310256958,0.0
fold2:c4->c6,fold2,c4,c6,3,,0.5,delta-knn-only@k3,mid,73,120.12554168701172,162.8081817626953,5.058076858520508,5.207518577575684,5.058076858520508,0.0
fold2:c4->c6,fold2,c4,c6,3,,0.5,delta-knn-only@k3,late,73,163.6708526611328,215.94224548339844,3.7076404094696045,3.900399923324585,3.7076404094696045,0.0
fold2:c4->c6,fold2,c4,c6,3,0.5,0.5,delta-blend@k3_b05,early,73,111.35810089111328,119.971923828125,7.299583911895752,7.418504238128662,7.299583911895752,0.0
fold2:c4->c6,fold2,c4,c6,3,0.5,0.5,delta-blend@k3_b05,mid,73,120.12554168701172,162.8081817626953,7.760713577270508,7.7859272956848145,7.760713577270508,0.0
fold2:c4->c6,fold2,c4,c6,3,0.5,0.5,delta-blend@k3_b05,late,73,163.6708526611328,215.94224548339844,8.994404792785645,9.046895027160645,8.994404792785645,0.0
fold2:c4->c6,fold2,c4,c6,3,,0.8,delta-knn-only@k3,early,73,111.35810089111328,119.971923828125,8.113771438598633,8.372883796691895,8.113771438598633,0.0
