inner_id,outer_fold,library_run,query_run,k,beta,late_q,mode,library_wear_threshold_um,mse_full_raw,rmse_full_raw,mae_full_raw,valid_points
fold1:c1->c4,fold1,c1,c4,10,0.3,0.8,delta-blend@k10_b03,137.7840576171875,4.676202774047852,2.1624529530253027,1.8412657976150513,219
fold1:c1->c4,fold1,c1,c4,10,0.5,0.8,delta-blend@k10_b05,137.7840576171875,7.230531692504883,2.6889647994172186,2.333200216293335,219
fold1:c1->c4,fold1,c1,c4,10,0.7,0.8,delta-blend@k10_b07,137.7840576171875,10.588709831237793,3.254029783397471,2.827735662460327,219
fold1:c1->c4,fold1,c1,c4,10,1.0,0.8,delta-blend@k10_b10,137.7840576171875,17.13319206237793,4.139226022142053,3.57490873336792,219
fold1:c1->c4,fold1,c1,c4,15,,0.8,delta-knn-only@k15,137.7840576171875,17.414247512817383,4.173038163355013,3.6060383319854736,219
fold1:c1->c4,fold1,c1,c4,15,0.0,0.8,delta-blend@k15_b00,137.7840576171875,2.3519248962402344,1.5335986750907926,1.1317228078842163,219
fold1:c1->c4,fold1,c1,c4,15,0.3,0.8,delta-blend@k15_b03,137.7840576171875,4.730183124542236,2.1748984170627916,1.8501496315002441,219
fold1:c1->c4,fold1,c1,c4,15,0.5,0.8,delta-blend@k15_b05,137.7840576171875,7.334946632385254,2.7083106602428852,2.3482463359832764,219
fold1:c1->c4,fold1,c1,c4,15,0.7,0.8,delta-blend@k15_b07,137.7840576171875,10.755109786987305,3.2794984047849915,2.849135637283325,219
fold1:c1->c4,fold1,c1,c4,15,1.0,0.8,delta-blend@k15_b10,137.7840576171875,17.414247512817383,4.173038163355013,3.6060383319854736,219
fold1:c4->c1,fold1,c4,c1,,,,head-only,,3.702061414718628,1.9240741707945221,1.6853793859481812,219
fold1:c4->c1,fold1,c4,c1,3,,0.8,delta-knn-only@k3,136.6273651123047,52.90342712402344,7.273474212783285,7.165041446685791,219
fold1:c4->c1,fold1,c4,c1,3,0.0,0.8,delta-blend@k3_b00,136.6273651123047,3.702061414718628,1.9240741707945221,1.6853793859481812,219
fold1:c4->c1,fold1,c4,c1,3,0.3,0.8,delta-blend@k3_b03,136.6273651123047,10.774975776672363,3.2825258226969614,3.1260948181152344,219
fold1:c4->c1,fold1,c4,c1,3,0.5,0.8,delta-blend@k3_b05,136.6273651123047,19.15096664428711,4.37618174260246,4.2667436599731445,219
fold1:c4->c1,fold1,c4,c1,3,0.7,0.8,delta-blend@k3_b07,136.6273651123047,30.455524444580078,5.518652412009664,5.42310094833374,219
fold1:c4->c1,fold1,c4,c1,3,1.0,0.8,delta-blend@k3_b10,136.6273651123047,52.90342712402344,7.273474212783285,7.165041446685791,219
fold1:c4->c1,fold1,c4,c1,5,,0.8,delta-knn-only@k5,136.6273651123047,53.41989517211914,7.3088915145950235,7.199912071228027,219
fold1:c4->c1,fold1,c4,c1,5,0.0,0.8,delta-blend@k5_b00,136.6273651123047,3.702061414718628,1.9240741707945221,1.6853793859481812,219
fold1:c4->c1,fold1,c4,c1,5,0.3,0.8,delta-blend@k5_b03,136.6273651123047,10.835689544677734,3.2917608577595265,3.136359691619873,219
fold1:c4->c1,fold1,c4,c1,5,0.5,0.8,delta-blend@k5_b05,136.6273651123047,19.297025680541992,4.392837998440415,4.284094333648682,219
fold1:c4->c1,fold1,c4,c1,5,0.7,0.8,delta-blend@k5_b07,136.6273651123047,30.72281837463379,5.542816826725721,5.447510719299316,219
fold1:c4->c1,fold1,c4,c1,5,1.0,0.8,delta-blend@k5_b10,136.6273651123047,53.41989517211914,7.3088915145950235,7.199912071228027,219
fold1:c4->c1,fold1,c4,c1,7,,0.8,delta-knn-only@k7,136.6273651123047,53.88969421386719,7.340960033528802,7.231844425201416,219
fold1:c4->c1,fold1,c4,c1,7,0.0,0.8,delta-blend@k7_b00,136.6273651123047,3.702061414718628,1.9240741707945221,1.6853793859481812,219
fold1:c4->c1,fold1,c4,c1,7,0.3,0.8,delta-blend@k7_b03,136.6273651123047,10.891483306884766,3.300224735814936,3.1457629203796387,219
fold1:c4->c1,fold1,c4,c1,7,0.5,0.8,delta-blend@k7_b05,136.6273651123047,19.430561065673828,4.4080110101579635,4.299984931945801,219
fold1:c4->c1,fold1,c4,c1,7,0.7,0.8,delta-blend@k7_b07,136.6273651123047,30.966543197631836,5.564759042189682,5.469864845275879,219
fold1:c4->c1,fold1,c4,c1,7,1.0,0.8,delta-blend@k7_b10,136.6273651123047,53.88969421386719,7.340960033528802,7.231844425201416,219
fold1:c4->c1,fold1,c4,c1,10,,0.8,delta-knn-only@k10,136.6273651123047,54.48562240600586,7.381437692347329,7.272121429443359,219
fold1:c4->c1,fold1,c4,c1,10,0.0,0.8,delta-blend@k10_b00,136.6273651123047,3.702061414718628,1.9240741707945221,1.6853793859481812,219
fold1:c4->c1,fold1,c4,c1,10,0.3,0.8,delta-blend@k10_b03,136.6273651123047,10.962935447692871,3.3110323839692164,3.1576156616210938,219
fold1:c4->c1,fold1,c4,c1,10,0.5,0.8,delta-blend@k10_b05,136.6273651123047,19.600751876831055,4.42727363925374,4.320023059844971,219
fold1:c4->c1,fold1,c4,c1,10,0.7,0.8,delta-blend@k10_b07,136.6273651123047,31.2763671875,5.592527799439177,5.4980573654174805,219
fold1:c4->c1,fold1,c4,c1,10,1.0,0.8,delta-blend@k10_b10,136.6273651123047,54.48562240600586,7.381437692347329,7.272121429443359,219
fold1:c4->c1,fold1,c4,c1,15,,0.8,delta-knn-only@k15,136.6273651123047,55.1964111328125,7.429428721834035,7.320169925689697,219
fold1:c4->c1,fold1,c4,c1,15,0.0,0.8,delta-blend@k15_b00,136.6273651123047,3.702061414718628,1.9240741707945221,1.6853793859481812,219
fold1:c4->c1,fold1,c4,c1,15,0.3,0.8,delta-blend@k15_b03,136.6273651123047,11.046926498413086,3.3236916972566943,3.1717238426208496,219
fold1:c4->c1,fold1,c4,c1,15,0.5,0.8,delta-blend@k15_b05,136.6273651123047,19.802282333374023,4.4499755430085255,4.343913555145264,219
fold1:c4->c1,fold1,c4,c1,15,0.7,0.8,delta-blend@k15_b07,136.6273651123047,31.64466667175293,5.625359248239434,5.531691551208496,219
fold1:c4->c1,fold1,c4,c1,15,1.0,0.8,delta-blend@k15_b10,136.6273651123047,55.1964111328125,7.429428721834035,7.320169925689697,219
fold2:c4->c6,fold2,c4,c6,,,,head-only,,129.5802459716797,11.38333193628648,11.011155128479004,219
fold2:c4->c6,fold2,c4,c6,3,,0.8,delta-knn-only@k3,136.6273651123047,39.778072357177734,6.306985996272525,5.797050476074219,219
fold2:c4->c6,fold2,c4,c6,3,0.0,0.8,delta-blend@k3_b00,136.6273651123047,129.5802459716797,11.38333193628648,11.011155128479004,219
fold2:c4->c6,fold2,c4,c6,3,0.3,0.8,delta-blend@k3_b03,136.6273651123047,91.9692611694336,9.59006054044674,9.44692325592041,219
fold2:c4->c6,fold2,c4,c6,3,0.5,0.8,delta-blend@k3_b05,136.6273651123047,71.97637176513672,8.483888952899886,8.40410327911377,219
fold2:c4->c6,fold2,c4,c6,3,0.7,0.8,delta-blend@k3_b07,136.6273651123047,56.04838180541992,7.486546720980236,7.361281871795654,219
fold2:c4->c6,fold2,c4,c6,3,1.0,0.8,delta-blend@k3_b10,136.6273651123047,39.7780647277832,6.30698539143569,5.797050476074219,219
fold2:c4->c6,fold2,c4,c6,5,,0.8,delta-knn-only@k5,136.6273651123047,40.271881103515625,6.346013008457801,5.835306644439697,219
fold2:c4->c6,fold2,c4,c6,5,0.0,0.8,delta-blend@k5_b00,136.6273651123047,129.5802459716797,11.38333193628648,11.011155128479004,219
fold2:c4->c6,fold2,c4,c6,5,0.3,0.8,delta-blend@k5_b03,136.6273651123047,92.19403076171875,9.601772271915157,9.458399772644043,219
fold2:c4->c6,fold2,c4,c6,5,0.5,0.8,delta-blend@k5_b05,136.6273651123047,72.31452178955078,8.503794552407225,8.423230171203613,219
fold2:c4->c6,fold2,c4,c6,5,0.7,0.8,delta-blend@k5_b07,136.6273651123047,56.47068405151367,7.514697868278782,7.388061046600342,219
fold2:c4->c6,fold2,c4,c6,5,1.0,0.8,delta-blend@k5_b10,136.6273651123047,40.271881103515625,6.346013008457801,5.835306644439697,219
fold2:c4->c6,fold2,c4,c6,7,,0.8,delta-knn-only@k7,136.6273651123047,40.72849655151367,6.381888165074163,5.871642112731934,219
fold2:c4->c6,fold2,c4,c6,7,0.0,0.8,delta-blend@k7_b00,136.6273651123047,129.5802459716797,11.38333193628648,11.011155128479004,219
fold2:c4->c6,fold2,c4,c6,7,0.3,0.8,delta-blend@k7_b03,136.6273651123047,92.40917205810547,9.61296895127127,9.469300270080566,219
fold2:c4->c6,fold2,c4,c6,7,0.5,0.8,delta-blend@k7_b05,136.6273651123047,72.6358413696289,8.522666329830642,8.441397666931152,219
fold2:c4->c6,fold2,c4,c6,7,0.7,0.8,delta-blend@k7_b07,136.6273651123047,56.868465423583984,7.5411183138566384,7.413495063781738,219
fold2:c4->c6,fold2,c4,c6,7,1.0,0.8,delta-blend@k7_b10,136.6273651123047,40.72849655151367,6.381888165074163,5.871642589569092,219
fold2:c4->c6,fold2,c4,c6,10,,0.8,delta-knn-only@k10,136.6273651123047,41.31813049316406,6.427918052772925,5.918697834014893,219
fold2:c4->c6,fold2,c4,c6,10,0.0,0.8,delta-blend@k10_b00,136.6273651123047,129.5802459716797,11.38333193628648,11.011155128479004,219
fold2:c4->c6,fold2,c4,c6,10,0.3,0.8,delta-blend@k10_b03,136.6273651123047,92.68970489501953,9.627549267337951,9.483417510986328,219
fold2:c4->c6,fold2,c4,c6,10,0.5,0.8,delta-blend@k10_b05,136.6273651123047,73.05404663085938,8.547165999959248,8.464926719665527,219
fold2:c4->c6,fold2,c4,c6,10,0.7,0.8,delta-blend@k10_b07,136.6273651123047,57.38485336303711,7.575279094728927,7.44643497467041,219
fold2:c4->c6,fold2,c4,c6,10,1.0,0.8,delta-blend@k10_b10,136.6273651123047,41.31813049316406,6.427918052772925,5.918697834014893,219
fold2:c4->c6,fold2,c4,c6,15,,0.8,delta-knn-only@k15,136.6273651123047,42.0798225402832,6.486896217782677,5.979866981506348,219
fold2:c4->c6,fold2,c4,c6,15,0.0,0.8,delta-blend@k15_b00,136.6273651123047,129.5802459716797,11.38333193628648,11.011155128479004,219
fold2:c4->c6,fold2,c4,c6,15,0.3,0.8,delta-blend@k15_b03,136.6273651123047,93.0595932006836,9.646740029703485,9.501768112182617,219
fold2:c4->c6,fold2,c4,c6,15,0.5,0.8,delta-blend@k15_b05,136.6273651123047,73.60321044921875,8.579231343728805,8.495511054992676,219
fold2:c4->c6,fold2,c4,c6,15,0.7,0.8,delta-blend@k15_b07,136.6273651123047,58.05943298339844,7.619674073305133,7.489253520965576,219
fold2:c4->c6,fold2,c4,c6,15,1.0,0.8,delta-blend@k15_b10,136.6273651123047,42.0798225402832,6.486896217782677,5.979866981506348,219
fold2:c6->c4,fold2,c6,c4,,,,head-only,,11.626901626586914,3.409824280895852,2.8729217052459717,219
fold2:c6->c4,fold2,c6,c4,3,,0.8,delta-knn-only@k3,176.38914489746094,18.035812377929688,4.24685911915261,3.8974146842956543,219
fold2:c6->c4,fold2,c6,c4,3,0.0,0.8,delta-blend@k3_b00,176.38914489746094,11.626901626586914,3.409824280895852,2.8729217052459717,219
fold2:c6->c4,fold2,c6,c4,3,0.3,0.8,delta-blend@k3_b03,176.38914489746094,6.813974380493164,2.610359052025825,2.3867990970611572,219
fold2:c6->c4,fold2,c6,c4,3,0.5,0.8,delta-blend@k3_b05,176.38914489746094,6.812784194946289,2.610131068537802,2.129615306854248,219
fold2:c6->c4,fold2,c6,c4,3,0.7,0.8,delta-blend@k3_b07,176.38914489746094,9.377535820007324,3.062276248153867,2.6454153060913086,219
fold2:c6->c4,fold2,c6,c4,3,1.0,0.8,delta-blend@k3_b10,176.38914489746094,18.035812377929688,4.24685911915261,3.8974146842956543,219
fold2:c6->c4,fold2,c6,c4,5,,0.8,delta-knn-only@k5,176.38914489746094,18.207435607910156,4.267017179237758,3.9130194187164307,219
fold2:c6->c4,fold2,c6,c4,5,0.0,0.8,delta-blend@k5_b00,176.38914489746094,11.626901626586914,3.409824280895852,2.8729217052459717,219
fold2:c6->c4,fold2,c6,c4,5,0.3,0.8,delta-blend@k5_b03,176.38914489746094,6.874530792236328,2.6219326444888567,2.3979201316833496,219
fold2:c6->c4,fold2,c6,c4,5,0.5,0.8,delta-blend@k5_b05,176.38914489746094,6.909390926361084,2.628572031799982,2.143079996109009,219
fold2:c6->c4,fold2,c6,c4,5,0.7,0.8,delta-blend@k5_b07,176.38914489746094,9.506743431091309,3.0833007364010583,2.6556663513183594,219
fold2:c6->c4,fold2,c6,c4,5,1.0,0.8,delta-blend@k5_b10,176.38914489746094,18.207435607910156,4.267017179237758,3.9130194187164307,219
fold2:c6->c4,fold2,c6,c4,7,,0.8,delta-knn-only@k7,176.38914489746094,18.41196060180664,4.290916056252632,3.931574821472168,219
fold2:c6->c4,fold2,c6,c4,7,0.0,0.8,delta-blend@k7_b00,176.38914489746094,11.626901626586914,3.409824280895852,2.8729217052459717,219
fold2:c6->c4,fold2,c6,c4,7,0.3,0.8,delta-blend@k7_b03,176.38914489746094,6.93385124206543,2.63322069756134,2.408963441848755,219
fold2:c6->c4,fold2,c6,c4,7,0.5,0.8,delta-blend@k7_b05,176.38914489746094,7.009230613708496,2.6474951583918895,2.156296491622925,219
fold2:c6->c4,fold2,c6,c4,7,0.7,0.8,delta-blend@k7_b07,176.38914489746094,9.64787483215332,3.106102836699603,2.667954444885254,219
fold2:c6->c4,fold2,c6,c4,7,1.0,0.8,delta-blend@k7_b10,176.38914489746094,18.41196060180664,4.290916056252632,3.931575059890747,219
fold2:c6->c4,fold2,c6,c4,10,,0.8,delta-knn-only@k10,176.38914489746094,18.740339279174805,4.329011351241159,3.96056866645813,219
fold2:c6->c4,fold2,c6,c4,10,0.0,0.8,delta-blend@k10_b00,176.38914489746094,11.626901626586914,3.409824280895852,2.8729217052459717,219
fold2:c6->c4,fold2,c6,c4,10,0.3,0.8,delta-blend@k10_b03,176.38914489746094,7.042093753814697,2.6536943595325173,2.428839921951294,219
fold2:c6->c4,fold2,c6,c4,10,0.5,0.8,delta-blend@k10_b05,176.38914489746094,7.185002326965332,2.6804854647927736,2.181199550628662,219
fold2:c6->c4,fold2,c6,c4,10,0.7,0.8,delta-blend@k10_b07,176.38914489746094,9.887468338012695,3.1444345021025155,2.6871767044067383,219
